time_of_day,Song Name,play_count
Afternoon,Off The Grid,227
Afternoon,Intro (Hate On Me),194
Afternoon,Agar Tum Saath Ho,167
Afternoon,Blue Notes 2 (feat. Lil Uzi Vert),167
Afternoon,Already Won (feat. Lil Durk),163
Evening,Agar Tum Saath Ho,290
Evening,King of My City,273
Evening,Off The Grid,247
Evening,Intro,245
Evening,"Kesariya Audio Teaser (From ""Brahmastra"")",196
Late Night,What's the Move (feat. Lil Uzi Vert),791
Late Night,Mannequin Challenge (feat. Juice WRLD),728
Late Night,Surf (feat. Gunna),722
Late Night,Big Tipper (feat. Lil Keed),721
Late Night,Bad Bad Bad (feat. Lil Baby),687
Morning,Just How It Is,1916
Morning,Big Tipper (feat. Lil Keed),1915
Morning,Bad Bad Bad (feat. Lil Baby),1912
Morning,What's the Move (feat. Lil Uzi Vert),1912
Morning,Lil Baby,1909
