weekday,time_of_day,play_count
Friday,Afternoon,11499
Friday,Evening,14534
Friday,Late Night,26023
Friday,Morning,4422
Monday,Afternoon,10632
Monday,Evening,16926
Monday,Late Night,19261
Monday,Morning,3207
Saturday,Afternoon,3825
Saturday,Evening,10412
Saturday,Late Night,19671
Saturday,Morning,2985
Sunday,Afternoon,1969
Sunday,Evening,8918
Sunday,Late Night,17420
Sunday,Morning,3920
Thursday,Afternoon,10615
Thursday,Evening,15109
Thursday,Late Night,30191
Thursday,Morning,38893
Tuesday,Afternoon,10370
Tuesday,Evening,16027
Tuesday,Late Night,21135
Tuesday,Morning,2723
Wednesday,Afternoon,11387
Wednesday,Evening,15249
Wednesday,Late Night,20321
Wednesday,Morning,2630
